congress,chamber,chamber_id,icpsr_id,state_icpsr,district_code,abbrev,party_code,party,born,died,speaker,firstname,stanford_core_id,repeat_last_name,new_core_id
115,House,0,20910,43,17,FL,200,republican,1970,,ROONEY,Thomas J.,72,x,x
115,House,0,21743,65,3,NV,100,democrat,1957,,ROSEN,Jacklyn Sheryl,73,,x
115,House,0,21744,43,4,FL,200,republican,1952,,RUTHERFORD,John Henry,74,,x
115,House,0,21762,14,7,PA,100,democrat,1959,,SCANLON,Mary Gay,75,,x
115,House,0,21326,21,10,IL,100,democrat,1961,,SCHNEIDER,Brad,76,,x
115,House,0,20731,4,1,NH,100,democrat,1952,,SHEA-PORTER,Carol,77,,x
115,Senate,1,41706,33,0,MN,100,democrat,1958,,SMITH,Tina,78,x,x
115,House,0,21745,14,16,PA,200,republican,1964,,SMUCKER,Lloyd K.,79,,x
115,House,0,21746,43,9,FL,100,democrat,1978,,SOTO,Darren Michael,80,,x
115,Senate,1,41704,41,0,AL,200,republican,1953,,STRANGE,Luther Johnson,81,,x
115,House,0,21747,13,3,NY,100,democrat,1962,,SUOZZI,Thomas,82,,x
115,House,0,21748,40,2,VA,200,republican,1979,,TAYLOR,Scott William,83,,x
115,House,0,21749,13,22,NY,200,republican,1961,,TENNEY,Claudia,84,,x
115,House,0,21763,14,15,PA,100,democrat,1957,,WILD,Susan,85,,x
115,House,0,21522,45,5,LA,200,republican,1954,,ABRAHAM,Ralph,12302,,
115,House,0,21545,47,12,NC,100,democrat,1946,,ADAMS,Alma,12278,,
115,House,0,29701,41,4,AL,200,republican,1965,,ADERHOLT,Robert,11849,,
115,House,0,21506,71,31,CA,100,democrat,1979,,AGUILAR,Peter Rey,12288,,
115,Senate,1,40304,54,0,TN,200,republican,1940,,ALEXANDER,Lamar,11828,,
115,House,0,21516,44,12,GA,200,republican,1951,,ALLEN,Rick W.,12298,,
115,House,0,21143,23,3,MI,200,republican,1980,,AMASH,Justin,11850,,
115,House,0,21196,65,2,NV,200,republican,1958,,AMODEI,Mark E.,12186,,
115,House,0,21551,49,36,TX,200,republican,1948,,BABIN,Brian,12327,,
115,Senate,1,29940,25,0,WI,100,democrat,1962,,BALDWIN,Tammy,11852,,
115,House,0,21171,14,11,PA,200,republican,1956,,BARLETTA,Lou,11853,,
115,House,0,21333,51,6,KY,200,republican,1973,,BARR,Garland H. (Andy) IV,12225,,
115,Senate,1,40707,68,0,WY,200,republican,1952,,BARRASSO,John A.,11826,,
115,House,0,15085,49,6,TX,200,republican,1949,,BARTON,Joe Linus,11854,,
115,House,0,21110,71,37,CA,100,democrat,1953,,BASS,Karen,11855,,
115,House,0,21352,24,3,OH,100,democrat,1950,,BEATTY,Joyce,12248,,
115,House,0,29316,71,34,CA,100,democrat,1958,,BECERRA,Xavier,11856,,
115,Senate,1,40910,62,0,CO,100,democrat,1964,,BENNET,Michael F.,11858,,
115,House,0,21304,71,7,CA,100,democrat,1965,,BERA,Ami,12201,,
115,House,0,21554,40,8,VA,100,democrat,1950,,BEYER,Donald Sternoff Jr.,12329,,
115,House,0,20758,43,12,FL,200,republican,1963,,BILIRAKIS,Gus,11859,,
115,House,0,20357,67,1,UT,200,republican,1951,,BISHOP,Robert (Rob),11860,x,
115,House,0,29339,44,2,GA,100,democrat,1947,,BISHOP,Sanford Dixon,11861,x,
115,House,0,21527,23,8,MI,200,republican,1967,,BISHOP,Michael Dean,12307,x,
115,House,0,21180,54,6,TN,200,republican,1951,,BLACK,Diane,11862,,
115,House,0,20351,54,7,TN,200,republican,1952,,BLACKBURN,Marsha,11863,,
115,House,0,21520,31,1,IA,200,republican,1955,,BLUM,Rod,12299,,
115,House,0,29588,72,3,OR,100,democrat,1948,,BLUMENAUER,Earl,11864,,
115,Senate,1,41101,1,0,CT,100,democrat,1946,,BLUMENTHAL,Richard,11865,,
115,Senate,1,29735,34,0,MO,200,republican,1950,,BLUNT,Roy,11866,,
115,House,0,21198,72,1,OR,100,democrat,1954,,BONAMICI,Suzanne,12187,,
115,Senate,1,41308,12,0,NJ,100,democrat,1969,,BOOKER,Cory Anthony,12271,,
115,Senate,1,20101,42,0,AR,200,republican,1950,,BOOZMAN,John,11867,,
115,House,0,21519,21,12,IL,200,republican,1960,,BOST,Mike,12301,,
115,House,0,21548,14,13,PA,100,democrat,1977,,BOYLE,Brendan Francis,12324,,
115,House,0,29760,49,8,TX,200,republican,1955,,BRADY,Kevin Patrick,11871,x,
115,House,0,29777,14,1,PA,100,democrat,1945,,BRADY,Robert A.,11872,x,
115,House,0,21553,40,7,VA,200,republican,1964,,BRAT,David A.,12276,,
115,House,0,21354,53,1,OK,200,republican,1975,,BRIDENSTINE,Jim,12250,,
115,House,0,21193,41,5,AL,200,republican,1954,,BROOKS,Mo,11873,x,
115,House,0,21331,22,5,IN,200,republican,1960,,BROOKS,Susan,12223,x,
115,Senate,1,29389,24,0,OH,100,democrat,1952,,BROWN,Sherrod,11810,x,
115,House,0,21308,71,26,CA,100,democrat,1952,,BROWNLEY,Julia,12205,,
115,House,0,20709,43,16,FL,200,republican,1951,,BUCHANAN,Vernon G.,11875,,
115,House,0,21510,62,4,CO,200,republican,1959,,BUCK,Kenneth Robert,12292,,
115,House,0,21132,22,8,IN,200,republican,1962,,BUCSHON,Larry,11876,,
115,House,0,20355,49,26,TX,200,republican,1950,,BURGESS,Michael C.,11877,,
115,Senate,1,29548,47,0,NC,200,republican,1955,,BURR,Richard M.,11878,,
115,House,0,21329,21,17,IL,100,democrat,1961,,BUSTOS,Cheri,12221,,
115,House,0,20340,47,1,NC,100,democrat,1947,,BUTTERFIELD,George Kenneth,11879,,
115,House,0,21376,41,1,AL,200,republican,1955,,BYRNE,Bradley,12273,,
115,House,0,29323,71,42,CA,200,republican,1953,,CALVERT,Ken,11880,,
115,Senate,1,39310,73,0,WA,100,democrat,1958,,CANTWELL,Maria E.,11811,,
115,Senate,1,20146,56,0,WV,200,republican,1953,,CAPITO,Shelley Moore,11881,,
115,House,0,29919,3,7,MA,100,democrat,1952,,CAPUANO,Michael Everett,11883,,
115,House,0,21309,71,29,CA,100,democrat,1963,,CARDENAS,Tony,12206,,
115,Senate,1,15408,52,0,MD,100,democrat,1943,,CARDIN,Benjamin Louis,11812,,
115,Senate,1,15015,11,0,DE,100,democrat,1947,,CARPER,Thomas Richard,11813,,
115,House,0,20757,22,7,IN,100,democrat,1974,,CARSON,Andr̩,11885,,
115,House,0,20356,49,31,TX,200,republican,1941,,CARTER,John R.,11886,x,
115,House,0,21513,44,1,GA,200,republican,1957,,CARTER,Buddy,12295,x,
115,House,0,21358,14,17,PA,100,democrat,1961,,CARTWRIGHT,Matt,12254,,
115,Senate,1,40703,14,0,PA,100,democrat,1960,,CASEY,Robert (Bob),11814,,
115,Senate,1,20919,45,0,LA,200,republican,1957,,CASSIDY,Bill,11887,,
115,House,0,20708,43,14,FL,100,democrat,1966,,CASTOR,Kathy,11888,,
115,House,0,21362,49,20,TX,100,democrat,1974,,CASTRO,Joaquin,12259,,
115,House,0,29550,24,1,OH,200,republican,1953,,CHABOT,Steve,11889,,
115,House,0,20949,67,3,UT,200,republican,1967,,CHAFFETZ,Jason,11890,,
115,House,0,20955,71,27,CA,100,democrat,1953,,CHU,Judy,11891,,
115,House,0,21172,5,1,RI,100,democrat,1961,,CICILLINE,David N.,11892,,
115,House,0,21375,3,5,MA,100,democrat,1963,,CLARK,Katherine M.,12272,,
115,House,0,20733,13,9,NY,100,democrat,1964,,CLARKE,Yvette Diane,11893,,
115,House,0,20147,34,1,MO,100,democrat,1956,,CLAY,William Lacy,11894,,
115,House,0,20517,34,5,MO,100,democrat,1944,,CLEAVER,Emanuel,11895,,
115,House,0,39301,48,6,SC,100,democrat,1940,,CLYBURN,James Enos,11896,,
115,Senate,1,14009,46,0,MS,200,republican,1937,,COCHRAN,William Thad,11829,,
115,House,0,20906,62,6,CO,200,republican,1955,,COFFMAN,Mike,11898,,
115,House,0,20748,54,9,TN,100,democrat,1949,,COHEN,Stephen,11899,,
115,House,0,20344,53,4,OK,200,republican,1949,,COLE,Tom,11900,,
115,Senate,1,49703,2,0,ME,200,republican,1952,,COLLINS,Susan Margaret,11830,x,
115,House,0,21323,44,9,GA,200,republican,1966,,COLLINS,Doug,12217,x,
115,House,0,21345,13,27,NY,200,republican,1950,,COLLINS,Chris,12246,x,
115,House,0,21555,40,10,VA,200,republican,1959,,COMSTOCK,Barbara J.,12330,,
115,House,0,20531,49,11,TX,200,republican,1948,,CONAWAY,K. Michael,11901,,
115,House,0,20952,40,11,VA,100,democrat,1950,,CONNOLLY,Gerald E. (Gerry),11902,,
115,House,0,10713,23,13,MI,100,democrat,1929,,CONYERS,John,11903,,
115,House,0,21305,71,8,CA,200,republican,1943,,COOK,Paul,12202,,
115,Senate,1,40916,11,0,DE,100,democrat,1963,,COONS,Christopher A.,11847,,
115,House,0,15019,54,5,TN,100,democrat,1954,,COOPER,James Hayes Shofner,11904,,
115,Senate,1,40705,54,0,TN,200,republican,1952,,CORKER,Robert (Bob),11815,,
115,Senate,1,40305,49,0,TX,200,republican,1952,,CORNYN,John,11831,,
115,House,0,20501,71,16,CA,100,democrat,1952,,COSTA,Jim,11905,,
115,House,0,21547,14,6,PA,200,republican,1976,,COSTELLO,Ryan,12323,,
115,Senate,1,21301,42,0,AR,200,republican,1977,,COTTON,Tom,12197,,
115,House,0,20706,1,2,CT,100,democrat,1953,,COURTNEY,Joe,11906,,
115,House,0,21350,36,1,ND,200,republican,1961,,CRAMER,Kevin,12239,,
115,Senate,1,29345,63,0,ID,200,republican,1951,,CRAPO,Michael Dean,11907,,
115,House,0,21106,42,1,AR,200,republican,1966,,CRAWFORD,Rick,11908,,
115,House,0,29925,13,14,NY,100,democrat,1962,,CROWLEY,Joseph,11910,,
115,Senate,1,41304,49,0,TX,200,republican,1970,,CRUZ,Rafael Edward (Ted),12256,,
115,House,0,20533,49,28,TX,100,democrat,1955,,CUELLAR,Henry,11911,,
115,House,0,20139,49,7,TX,200,republican,1956,,CULBERSON,John,11912,,
115,House,0,29587,52,7,MD,100,democrat,1951,,CUMMINGS,Elijah Eugene,11913,,
115,House,0,21512,43,26,FL,200,republican,1980,,CURBELO,Carlos,12294,,
115,Senate,1,21338,64,0,MT,200,republican,1962,,DAINES,Steve,12233,,
115,House,0,21564,24,8,OH,200,republican,1970,,DAVIDSON,Warren,12347,,
115,House,0,29717,21,7,IL,100,democrat,1941,,DAVIS,Danny K.,11914,x,
115,House,0,20108,71,53,CA,100,democrat,1944,,DAVIS,Susan A.,11915,x,
115,House,0,21328,21,13,IL,200,republican,1970,,DAVIS,Rodney,12220,x,
115,House,0,15410,72,4,OR,100,democrat,1947,,DeFAZIO,Peter Anthony,11916,,
115,House,0,29710,62,1,CO,100,democrat,1957,,DeGETTE,Diana,11917,,
115,House,0,21334,52,6,MD,100,democrat,1963,,DELANEY,John,12228,,
115,House,0,29109,1,3,CT,100,democrat,1943,,DeLAURO,Rosa L.,11918,,
115,House,0,31101,73,1,WA,100,democrat,1962,,DelBENE,Suzan K.,12188,,
115,House,0,21109,71,10,CA,200,republican,1967,,DENHAM,Jeff,11919,,
115,House,0,20526,14,15,PA,200,republican,1960,,DENT,Charles W.,11920,,
